0,96,148,79
1,183,230,79
2,1,38,79
3,1,31,79
4,61,82,79
5,1,35,79
6,47,97,79
7,42,83,79
8,39,82,79
9,1,23,79
10,1,20,79
11,1,45,79
12,43,94,79
13,30,53,79
14,1,53,79
15,93,129,79
16,1,33,79
17,1,59,79
18,78,107,79
19,38,66,79
20,44,90,79
21,49,75,79
22,106,157,79
23,125,162,79
24,1,25,79
25,34,63,79
26,1,52,79
27,1,45,79
28,1,30,79
29,1,38,79
30,1,37,79
31,90,138,79
32,1,96,79
33,109,151,79
34,44,81,79
35,82,117,79
36,56,72,79
37,1,36,79
38,156,185,79
39,38,78,79
40,1,32,79
41,1,41,79
42,1,46,79
43,51,91,79
44,56,93,79
45,51,72,79
46,1,39,79
47,1,40,79
48,55,101,79
49,22,40,79
50,1,33,79
51,43,91,79
52,135,183,79
53,1,37,79
54,1,23,79
55,1,51,79
56,24,49,79
57,1,37,79
58,1,28,79
59,41,80,79
60,81,125,79
61,21,38,79
62,101,135,79
63,137,175,79
64,1,56,79
65,43,77,79
66,94,117,79
67,85,113,79
68,1,62,79
69,64,102,79
70,98,162,79
71,1,45,79
72,28,62,79
73,42,68,79
74,1,33,79
75,1,41,79
76,61,106,79
77,1,26,79
78,1,24,79
79,117,158,79
80,34,81,79
81,1,69,79
82,107,146,79
83,110,158,79
84,22,39,79
85,1,29,79
86,154,212,79
87,106,139,79
88,45,63,79
89,88,106,79
90,1,41,79
91,74,178,79
92,1,35,79
93,117,151,79
94,113,169,79
95,1,24,79
96,1,45,79
97,96,132,79
98,128,169,79
99,1,29,79
100,45,67,79
101,32,55,79
102,71,111,79
103,41,58,79
104,1,43,79
105,1,69,79
106,1,50,79
107,89,124,79
108,1,27,79
109,1,30,79
110,118,145,79
111,1,40,79
112,1,47,79
113,1,38,79
114,43,64,79
115,1,57,79
116,58,93,79
117,1,41,79
118,1,36,79
119,102,145,79
120,153,193,79
121,55,83,79
122,1,52,79
123,167,202,79
124,43,83,79
125,83,129,79
126,1,42,79
127,43,83,79
128,1,44,79
129,167,223,79
130,1,40,79
131,1,41,79
132,1,44,79
133,1,26,79
134,153,205,79
135,1,62,79
136,1,35,79
137,44,87,79
138,103,144,79
139,1,46,79
140,1,44,79
141,1,41,79
142,271,319,79
143,1,41,79
144,73,100,79
145,1,55,79
146,1,45,79
147,42,81,79
148,163,189,79
149,1,25,79
150,39,70,79
151,1,44,79
152,1,40,79
153,1,50,79
154,34,67,79
155,1,29,79
156,1,41,79
157,1,53,79
158,49,73,79
159,1,23,79
160,38,62,79
161,1,44,79
162,1,42,79
163,59,75,79
164,76,144,79
165,1,45,79
166,32,52,79
167,79,123,79
168,1,44,79
169,43,82,79
170,1,41,79
171,59,89,79
0,39,88,80
1,101,131,80
2,1,26,80
3,55,86,80
4,108,139,80
5,1,74,80
6,1,36,80
7,37,65,80
8,29,61,80
9,1,23,80
10,1,60,80
11,1,65,80
12,1,70,80
13,129,197,80
14,100,145,80
15,1,29,80
16,54,86,80
17,26,49,80
18,55,80,80
19,1,25,80
20,86,116,80
21,1,30,80
22,1,19,80
23,59,108,80
24,1,44,80
25,64,93,80
26,1,29,80
27,1,37,80
28,136,175,80
29,62,78,80
30,30,60,80
31,80,161,80
32,1,54,80
33,1,40,80
34,41,76,80
35,1,25,80
36,34,61,80
37,1,32,80
38,1,45,80
39,115,169,80
40,1,51,80
41,1,43,80
42,98,160,80
43,56,110,80
44,1,27,80
45,1,43,80
46,164,199,80
47,1,45,80
48,1,58,80
49,171,230,80
50,124,176,80
51,31,65,80
52,46,83,80
53,1,41,80
54,1,74,80
55,104,147,80
56,1,31,80
57,140,192,80
58,193,249,80
59,1,25,80
60,1,33,80
61,1,21,80
62,46,63,80
63,115,164,80
64,33,51,80
65,85,114,80
66,1,34,80
67,95,125,80
68,1,45,80
69,1,38,80
70,19,27,80
71,34,69,80
72,1,37,80
73,79,105,80
74,42,86,80
75,87,131,80
76,57,93,80
77,66,106,80
78,30,40,80
79,93,122,80
80,1,25,80
81,26,52,80
82,53,81,80
83,82,109,80
84,1,38,80
85,1,50,80
86,1,45,80
87,34,61,80
88,1,59,80
89,62,88,80
90,1,43,80
91,1,29,80
92,1,66,80
93,30,54,80
94,37,68,80
95,1,31,80
0,67,91,101
1,50,87,101
2,1,34,101
3,1,40,101
4,1,49,101
5,1,43,101
6,24,61,101
7,92,109,101
8,1,41,101
9,47,61,101
10,42,70,101
11,1,42,101
12,33,70,101
13,1,29,101
14,34,55,101
15,40,99,101
16,1,35,101
17,37,83,101
18,1,39,101
19,1,42,101
20,1,34,101
21,42,85,101
22,1,37,101
23,48,79,101
24,33,47,101
25,69,85,101
26,1,44,101
27,1,24,101
28,1,34,101
29,91,118,101
30,31,55,101
31,113,145,101
